password,strength_label,crack_time_seconds
",ta'hq-#ya""[fS",strong,10000.0000000001
c5`#Tya\r=)/m:owX:0,strong,1000000000.0000000001
back432#,weak,0.000113
"CGBh3EHi,(3",strong,10.0000000001
rOUrdzX@Eb<j_%e~,strong,1000000.0000000001
though100!,weak,0.000599
according682#,weak,0.000433
;Z135UvI.\8^6nCC,strong,300000.01
]yo~HZFGUf3,strong,10.0000000001
service758@,weak,0.000347
central34#,weak,0.0000446
+\KAL[wzJ8[Mbe:,strong,100000.0000000001
gQ)PiB69#~JlJ)@GXf9,strong,1000000000.0000000001
"/d,h-}Zu#$<DWo#Y""9b<",strong,10000000000.0000000001
NwH<Q&-G8SSjZ,strong,1000.0000000001
early328#,weak,0.000191
h-`&zRh`+Y4o6C|z#W,strong,100000000.0000000001
"g_g!Exj""4",medium,0.1000000001
7cXId$y&3;vqc<^n8L1x,strong,10000000000.0000000001
if623!,weak,0.0001000001
according48#,weak,0.0000442
lQDz?xf[f(HN-Sr~%&|:,strong,10000000000.0000000001
where187#,weak,0.000113
son185#,weak,0.000389
?BPs#j=sll,medium,1.0000000001
he385,weak,0.0000100001
I188#,weak,0.0000100001
"|Oa3%""}T10",medium,1.0000000001
K6T)r*#>vx@P1z7wAmU,strong,1000000000.0000000001
"K|b}G?b:G,>Noi5F+",strong,10000000.0000000001
force811!,weak,0.000587
Pw#(P4Y0FB`T(s{,strong,100000.0000000001
cultural494!,weak,0.001409
m`b|2tP6Xp!p:2H|<p,strong,100000000.0000000001
safe250!,weak,0.000809
expert248!,weak,0.003017
}1=[]+pGELOzSeM,strong,100000.0000000001
soon563!,weak,0.000513
t{6Nd=AcJl\C<&L/a8a,strong,1000000000.0000000001
color79#,weak,0.0002062
s&7>R5Sy94h4#\5,strong,100000.0000000001
m2V%T_VI~Q?x9[SVu6,strong,100000000.0000000001
apply51!,weak,0.0004542
tonight673!,weak,0.000385
!Vira5D*xr,medium,1.0000000001
gas141!,weak,0.0010000001
"i&P+7iP@,",medium,0.1000000001
"cI(>Mi6>KObD,m5Aa",strong,10000000.0000000001
^WHxlSPEuC@rM),strong,10000.0000000001
while732@,weak,0.000143
Ee6%Dk%',weak,0.0100000001
G03TwV=ze\O,strong,10.0000000001
p:HJ*.mvwFmGz]t6v,strong,10000000.0000000001
"Re0L!&HcjI""5!",strong,1000.0000000001
study304,weak,0.000092
culture460#,weak,0.001097
JB|~!+pNn\,medium,1.0000000001
&\2}bhz27k`,strong,10.0000000001
r~>Mx\Qut,medium,0.1000000001
company19,weak,0.00000326
away34,weak,0.0000022
wait632,weak,0.00002073365333333333317114011152
v6?T~N5NQjaq:o(?,strong,1000000.0000000001
_ufiKrUTPzYwq{>Q[X,strong,100000000.0000000001
ds`bhC8_)(!mkf,strong,10000.0000000001
c62BH|LJ~G_\xgNc,strong,1000000.0000000001
capital312,weak,0.000096
notice709,weak,0.0001562
nation20@,weak,0.0001818
dyN}&Iy;qA5lAmf8l:j*,strong,10000000000.0000000001
^/#hH=+3o,medium,0.1000000001
K{'n*Izm%&)\?4-,strong,100000.0000000001
bring997#,weak,0.000557
measure548@,weak,0.0007402
serve639,weak,0.0001814
hundred692,weak,0.000094
bCTsMf;\D{`X,strong,100.0000000001
worker747#,weak,0.004139
"NVMq%""ffu.$""|^9DI/",strong,100000000.0000000001
:>0q2%w3Md`H)hGgo,strong,10000000.0000000001
foot165,weak,0.0001784
?]l)b%bf95z#,strong,100.0000000001
ZAS!0epM2JlV}b|,strong,100000.0000000001
")5o,}D@xlP&3M",strong,1000.0000000001
@@Gnr@6s6,medium,0.1000000001
Wpk.(xuyMdVa,strong,100.0000000001
"?iV,,c+yPzcXnD\v",strong,1000000.0000000001
agent30@,weak,0.0001622
"ZM0O|-7+T;Tp,T",strong,10000.0000000001
enter303@,weak,0.000381
learn743!,weak,0.001151
#UU~AaMX_+E|65c3,strong,1000000.0000000001
N+q1ye>d/saXV5,strong,10000.0000000001
WE8KDmBtc]nk$FU&Oey,strong,1000000000.0000000001
final76@,weak,0.0000386
financial521,weak,0.0001243814399999999989859134075
above490,weak,0.000098
"lr=|c[^lfiDWCv^+,?sQ",strong,10000000000.0000000001
present314@,weak,0.000619
;EQzza:o,weak,0.0100000001
GJM3_ge<,weak,0.001561
figure43@,weak,0.0000836
choose583,weak,0.0001344304
"n^sVM,I_~wjau",strong,1000.0000000001
"^7s2Ws{@Xua/@""}",strong,100000.0000000001
(YM%Zuw\2<;0<,strong,1000.0000000001
memory673!,weak,0.001579
"dbQvZ""OY4<U'ID",strong,10000.0000000001
make707!,weak,0.000145
but717!,weak,0.000101
subject565!,weak,0.0007134
education298#,weak,0.000435
&N[Na$[k-S?m9GuO:zy,strong,1000000000.0000000001
since844!,weak,0.000207
+JPz?pq$8grOPhU,strong,100000.0000000001
R%|$_Q_US%<075UgoFn,strong,1000000000.0000000001
series971@,weak,0.000201
"F(qIQypT@Ock+QsWF,Q^",strong,10000000000.0000000001
threat645@,weak,0.002291
z`nW*?zIOzd/,strong,100.0000000001
professional462@,weak,0.000625
"j#5bdL%-[;Ctjl&Wg5X""",strong,10000000000.0000000001
R&;ZsqPI,weak,0.0100000001
research526!,weak,0.000505
4(GVA9Ako,medium,0.1000000001
To<<^</?H`mQxg69,strong,1000000.0000000001
stage155,weak,0.0000896
"""Cc-U=Lu`D",medium,1.0000000001
"&iH&eUN'""yUdq8Dx|",strong,10000000.0000000001
snZ`]rDz)f=D,strong,100.0000000001
6]4i_er@uv:`m:x]sX,strong,100000000.0000000001
O}=Sdf<rTq{R*eIu~.,strong,100000000.0000000001
{JJ#gLkH!*9d>,strong,1000.0000000001
specific384#,weak,0.001611
CZT!7kS\>d:m4N>-,strong,1000000.0000000001
development748,weak,0.00004231157333333333299378864468
u/wu8c=r(%:p,strong,100.0000000001
s+~ka{l9,weak,0.0100000001
aD\pI'6oQ-s$;Pq++~N,strong,1000000000.0000000001
"|{LH""3""eWRj,",strong,100.0000000001
loss318!,weak,0.001477
{lC.XOue,weak,0.0100000001
$_voB?yS/DY,strong,10.0000000001
+4ahEH8n?A#<5,strong,1000.0000000001
pNF`KKqZi4%B~PL[h,strong,10000000.0000000001
catch338@,weak,0.001069
NBz)HkOqTxZg-`$rsA:P,strong,10000000000.0000000001
-b5T-slx~}^S$&.,strong,100000.0000000001
@S?=u-o\K\X,strong,10.0000000001
knowledge823#,weak,0.002113
message327@,weak,0.001165
bQ52$(~-U.GJV]/_)|rp,strong,10000000000.0000000001
wind106!,weak,0.001971
full723,weak,0.0000636
determine933@,weak,0.003689
M.B`Ys_(~luQ/g&2*t,strong,100000000.0000000001
I|@b`)0wc~/Vu>oFi*,strong,100000000.0000000001
standard726#,weak,0.001129
"l`ZdOF:,)}T@`$:h%P:",strong,1000000000.0000000001
fky$11JcC4^-V$??,strong,1000000.0000000001
"H`|[5QHj8}Wl/4_""+",strong,10000000.0000000001
student552,weak,0.00001064
g$d*gRp<OpeY!'THGBx,strong,1000000000.0000000001
bSB3n}pr.FI,strong,10.0000000001
per228,weak,0.000061
b?QC==DHDS;Fk7OMXNKN,strong,10000000000.0000000001
maintain900#,weak,0.003475
#f~v?P@B,weak,0.0100000001
u{BoD5|uwuGLz^,strong,10000.0000000001
:3(H=(FB,weak,0.0100000001
threat435@,weak,0.002291
s$][CJ02`?yI,strong,100.0000000001
whether503#,weak,0.001361
"0""V:8qNeSIv4/rR=",strong,1000000.0000000001
however137!,weak,0.000185
"n#lJvqT,w=Mm@au",strong,100000.0000000001
3n4eMEE+\1im%=M6,strong,650400.01
now600@,weak,0.000101
m?>9fX2u>bN9#X,strong,10000.0000000001
water491@,weak,0.000457
"@0oJ@h',_",medium,0.1000000001
teach809@,weak,0.001799
T96|yCq7s,medium,0.1000000001
N'`?>Rjsp,medium,0.1000000001
LpGh^{#'T'nb4&o+C\4D,strong,10000000000.0000000001
-Cey1QJQ9Qt,strong,10.0000000001
^9$J)wJ`_P:CEp{z|gv,strong,1000000000.0000000001
h/wBiKq'rz}!,strong,100.0000000001
couple294!,weak,0.000633
t}D_?%4'o.FG3*5>oLe,strong,1000000000.0000000001
recently308,weak,0.0001662
expect831!,weak,0.001055
U@s>*I;asj4rTj%P+-,strong,100000000.0000000001
O>sAB|>32c%-WR-\'\,strong,100000000.0000000001
answer491!,weak,0.000711
MXC~]<qR81fX5N\%bH,strong,100000000.0000000001
another461#,weak,0.000353
N/=wm-[Y,weak,0.0100000001
very798,weak,0.0000188
decision564!,weak,0.0005554
TR_i3NdT,weak,0.0100000001
PnqZ|`&t6T5.wx'$u>:,strong,1000000000.0000000001
rock674#,weak,0.000719
grow777!,weak,0.001849
major262!,weak,0.000355
?/8Nqt!F,weak,0.0100000001
its150#,weak,0.000101
suffer139!,weak,0.002905
loss118#,weak,0.001477
American261,weak,0.0000314
require665@,weak,0.003539
St%!wJ<:,weak,0.0100000001
H$/>cOe>hkVJ!AUX\U\u,strong,10000000000.0000000001
\UgjXH0)QmDNuxP{J,strong,10000000.0000000001
force649@,weak,0.000587
throw815@,weak,0.000985
"fL3""OA""FS:%acl$",strong,100000.0000000001
"dgn05mLMM8""`o4l\&M",strong,100000000.0000000001
evTj`)o8;),medium,1.0000000001
_pXgt6zj)ai]^__Ylb,strong,46800000.01
consider576#,weak,0.0015358
everybody526,weak,0.0000589099733333333328573644394
else925@,weak,0.000337
sense91,weak,0.00000946
t.{Yb9.K.{h+Q]x-ZdUB,strong,10000000000.0000000001
rb[]zzA3VE,medium,1.0000000001
learn930,weak,0.000116
adult435@,weak,0.002723
just533!,weak,0.000101
tell453!,weak,0.000119
"Tu""Z%A@URU_-U?",strong,10000.0000000001
set730#,weak,0.000401
account872#,weak,0.002267
87E2*k0s7(%:-|D`?x4,strong,1000000000.0000000001
zm8!Z:FRo8Y57vA8taJR,strong,10000000000.0000000001
RXvQ[U@FNNb,strong,10.0000000001
explain861,weak,0.0000946
now248@,weak,0.000101
effect427@,weak,0.001571
2dYETc-TbyOD!cK48s,strong,75960000.01
JdJY#y_HczaU{]%$L,strong,10000000.0000000001
G>sXt:X\1?\P^1EX+.,strong,100000000.0000000001
occur58@,weak,0.00006128
A.kn<+S#TUL_i-AQQ(,strong,100000000.0000000001
court841#,weak,0.000489
Pd}j`-HdbO{\7E,strong,10000.0000000001
vw[`\_e.oC~aw^&k*bt0,strong,10000000000.0000000001
risk851,weak,0.0001393199999999999988631316228
human863!,weak,0.000787
"""&#Ww*ux",weak,0.0100000001
2)feD=b;[fDBEJ9Y.-F,strong,1000000000.0000000001
final68@,weak,0.0000386
"T*450""Bj>'[n4_ABvum",strong,1000000000.0000000001
many475,weak,0.00001354101333333333323025726713
9n+(7Tf-d[,medium,1.0000000001
&lO4;i(`76rD8IIVtPJ;,strong,10000000000.0000000001
size779!,weak,0.000969
K'g-6_qEhW|`tP;I_v,strong,100000000.0000000001
"9hb<D4GL%_$""1\fI;;'#",strong,10000000000.0000000001
"&^""h7%P#\BO3^I5",strong,100000.0000000001
eat34!,weak,0.000079
center776,weak,0.0000486
",J2AQCa}e",medium,0.1000000001
address75#,weak,0.000207
decision377,weak,0.0001274
RB(IAk!v7Z=l/&'O)6k),strong,10000000000.0000000001
role397!,weak,0.000553
half234!,weak,0.000693
"pL8Nipk,-99-nw<",strong,100000.0000000001
thousand364,weak,0.0001242
E~27^@dzDR[+^,strong,1000.0000000001
strong392,weak,0.000115
"hdT&uCz'7u_+s""2JQUo",strong,1000000000.0000000001
development38#,weak,0.0000458
'bs0ikgr{W,medium,1.0000000001
"p,64t*-CM,",medium,1.0000000001
p7fPQ`ylT,medium,0.1000000001
those375#,weak,0.000283
"D0A/R""+cxiK?rr/$",strong,1000000.0000000001
YeGeo>os#_ugBi_4]zJ,strong,1000000000.0000000001
bT6`Ik`wxJs,strong,10.0000000001
traditional316!,weak,0.001173
"gY%zv3adb,`-L",strong,1000.0000000001
rather693@,weak,0.001011
kqYfQW@C#4tCy%V,strong,100000.0000000001
financial784!,weak,0.001339
effect795@,weak,0.001571
involve993,weak,0.0004706
view91!,weak,0.0001556
company106!,weak,0.000227
"Wwb'2B\XC0Pw,-FV'i?",strong,1000000000.0000000001
2+O857}1,weak,0.0100000001
}g6Bu$R=}`sWlnnWw,strong,10000000.0000000001
d/?J9GX\JJdi,strong,100.0000000001
kjRhrtu|,weak,0.0100000001
"+a!:0t\*X?f""`2v7L",strong,10000000.0000000001
"5+w_JnsC""",medium,0.1000000001
`edeE[cpQN'zfRD)#9,strong,100000000.0000000001
receive443,weak,0.0002422
summer835@,weak,0.000139
C.JJmt5\.W0Nz$M7S,strong,10000000.0000000001
"C8XC<rW|G.P{q,M)T",strong,10000000.0000000001
difficult790,weak,0.0001462
ICY>p=BOP1~],strong,100.0000000001
<>/jWyg2K{RLRl^2hQ,strong,100000000.0000000001
year172,weak,0.000011
W2sW&#*VzJCV9mmk%,strong,10000000.0000000001
s|`K4_YU2FZVOt,strong,10000.0000000001
}|lx[^fb,weak,0.0100000001
pgL\M&-X6&L/z,strong,1000.0000000001
g?;avXiI{jC,strong,10.0000000001
able976!,weak,0.000687
exactly195@,weak,0.000435
major306#,weak,0.000355
E0G:La:Y,weak,0.0100000001
whole709#,weak,0.000365
as185!,weak,0.0001000001
y9wHCGfr$VyxlX,strong,10000.0000000001
"MKm=U2""[vt8@",strong,100.0000000001
_X04vEl6<9N~5s}PZ,strong,10000000.0000000001
uoQE>rFf=,medium,0.1000000001
YL$zV0@oyxFZgT,strong,10000.0000000001
strategy758,weak,0.0003447713066666666638411697932
:pDJf}Tt],medium,0.1000000001
else384,weak,0.0000346
"\Q%JYH<;E%.-5.,w0u",strong,100000000.0000000001
item357@,weak,0.004427
^{BE^Fx%J'<-,strong,100.0000000001
k:}r/NXY\|fi>8'[,strong,1000000.0000000001
oH(Bl;q],weak,0.0100000001
town356,weak,0.00002552874666666666646506200778
?[F<mzeX-d^ZkG,strong,10000.0000000001
assume470!,weak,0.001899
movement869,weak,0.00009266005333333333257996855536
card711#,weak,0.001435
_HEJhToyd,medium,0.1000000001
^Q\XHfe&,weak,0.0100000001
see729@,weak,0.000101
3#@n}:65O[QFG$Bs]5#y,strong,10000000000.0000000001
f)wR(YXV}rS\^,strong,1000.0000000001
hour416,weak,0.0000886
`_]0^O5&sZxON,strong,1000.0000000001
dog759#,weak,0.000421
election304@,weak,0.000547
bring444@,weak,0.000557
-tn:K1g*,weak,0.0100000001
`@j9mx<V]|V-#'dFd4`,strong,1000000000.0000000001
enjoy386#,weak,0.001291
"jx#wR?<=R""9lU*V/h&_",strong,1000000000.0000000001
clearly802,weak,0.000222
team132@,weak,0.000149
opportunity314!,weak,0.001677
"R^,AUXY+yf=J$2l9m",strong,10000000.0000000001
tend985!,weak,0.003709
a820,weak,0.0000010001
chance823!,weak,0.000523
t$CrSjbQ\3Q~,strong,100.0000000001
`SM(#vy`i%i},strong,100.0000000001
image184@,weak,0.002263
9p6^P#:OjiXu,strong,100.0000000001
Hw[7lY0nBgTrS,strong,1000.0000000001
toward244#,weak,0.002959
"._-G--GPBmJ^c""w",strong,100000.0000000001
O(Vo|o(Bq\4~VgRn$`xG,strong,10000000000.0000000001
"~BfK,t8X<",medium,0.1000000001
Jb@EY\}u=H7,strong,10.0000000001
"7Qtf4pHAA%#pk(!2,.Gg",strong,10000000000.0000000001
dog837,weak,0.000043
M;PB5yj-KRc{6#aca%,strong,100000000.0000000001
strong295#,weak,0.001141
represent781!,weak,0.002913
onto489!,weak,0.002161
grY1#I~Rwi/#S/Krk,strong,10000000.0000000001
"=GI""=y[YvKw7aFf,2/jZ",strong,10000000000.0000000001
after819#,weak,0.000101
expert645@,weak,0.003017
R1~9:)[c[,medium,0.1000000001
heart804!,weak,0.000537
7Lx{00p$!j5z72!e~,strong,10000000.0000000001
design50#,weak,0.000066
WQFI!\7*0|f!fO,strong,10000.0000000001
throw133@,weak,0.000985
range747!,weak,0.000359
@zDJ-Il.nI,medium,1.0000000001
wife282@,weak,0.000519
%:;3PkdMO{t6$V52H4,strong,100000000.0000000001
bJI!AZ~&SJhR.Lj,strong,100000.0000000001
third239!,weak,0.000399
GQ6|?1*SI]P1`^OW2s,strong,100000000.0000000001
@=g:f=KjX;FqZH;r3e,strong,100000000.0000000001
watch572@,weak,0.000619
;tH|HNDrM_,medium,1.0000000001
quality164#,weak,0.001763
0XO'C1^+R,medium,0.1000000001
require425@,weak,0.003539
-MRtJi(u;SQBaa,strong,10000.0000000001
citizen651#,weak,0.004945
its266#,weak,0.000101
more504#,weak,0.000101
@<&KHA%Oqp,medium,1.0000000001
"-b'""<uJ}aIM4",strong,100.0000000001
foreign195#,weak,0.001193
nothing8#,weak,0.00000318
career225@,weak,0.000239
pick488#,weak,0.000737
"MWOg*v,Rf9ScG",strong,1000.0000000001
w$lMD_?n:,medium,0.1000000001
ph)F1.gif0m2*mt1w;r.,strong,10000000000.0000000001
h3Wvh+E+spEpGIW.+q:;,strong,10000000000.0000000001
never996!,weak,0.000151
-#mY)lQHbXv('LRID,strong,10000000.0000000001
"q6Y=6|\Cr0,OC5D4+",strong,10000000.0000000001
child408,weak,0.0000728
#e}f2/eE):,medium,1.0000000001
year705,weak,0.000011
tough401#,weak,0.001239
whole264@,weak,0.000365
nature970,weak,0.0001482
believe353,weak,0.0000233156266666666664832519018
a469!,weak,0.0000100001
L~k25WUz},medium,0.1000000001
Wnx$e~(2'hLY.MWx,strong,1000000.0000000001
cause703#,weak,0.000511
computer422,weak,0.0000112
everyone144,weak,0.0000632
G9vh>Y*Sdg%,strong,10.0000000001
note225#,weak,0.001001
pg/km:\p.BY]d<7/%hJ2,strong,10000000000.0000000001
38grZ(eUc,medium,0.1000000001
century80,weak,0.00000408
hdg<8.cW|!R,strong,10.0000000001
wall643#,weak,0.000979
reason227,weak,0.0000558
see930,weak,0.000011
;)-SPcBI2\i}ODRpZ5e*,strong,10000000000.0000000001
9b]7ZwvkuNx^]v0,strong,100000.0000000001
him962!,weak,0.000101
"apuvW`IC#+1>1g;""m~",strong,100000000.0000000001
F1fj3|j6HFD;<,strong,486.73
kitchen251,weak,0.0001476191999999999987949195202
"""C&<{L3HSy",medium,1.0000000001
.khx~%;y,weak,0.0100000001
z?OH}h||A,medium,0.1000000001
3T`<D0<}ZNo'X,strong,960.01
c[D&J^<b`y~JS_F,strong,100000.0000000001
"Z*8*5z3I(ZpH""B~bi",strong,10000000.0000000001
<'1~nK!6J[c<`,strong,1000.0000000001
[#I[yYRh53sO8+,strong,10000.0000000001
!\eInr!|-h&eem[+VQ,strong,100000000.0000000001
pro9v?(Jx(yz`UHub,strong,10000000.0000000001
?<wa6:+B;M,medium,1.0000000001
sit454,weak,0.00005669685333333333287555433344
board530,weak,0.000062967359999999999490682967
red950#,weak,0.000699
push829,weak,0.0001492
design770!,weak,0.000651
could973#,weak,0.000127
`a.JI)uWY8:CM},strong,10000.0000000001
",""*+-Soc4^?U",strong,100.0000000001
Oj|XBmX_GZ`:8d2,strong,100000.0000000001
situation847@,weak,0.001041
JDUXKagn'L,medium,1.0000000001
suffer995@,weak,0.002905
by498!,weak,0.0001000001
hotel565,weak,0.0000656
u3ruF:#_QSDrV2Z*^#b9,strong,10000000000.0000000001
thousand583#,weak,0.0006902
democratic499@,weak,0.001515
character845#,weak,0.000839
}Jy9Cv`5N[SZ`*,strong,10000.0000000001
speech51@,weak,0.000205
Jc+Dy-_.GDa44Milht,strong,100000000.0000000001
significant393!,weak,0.001235
picture852@,weak,0.000925
@:0:Sd;H5Pcyy@pjoB,strong,82800000.000001
partner865!,weak,0.001861
{3f]>mD3B,medium,0.1000000001
such231!,weak,0.000123
impact671,weak,0.000226
ikc@'m9HoiAj._^n~a,strong,100000000.0000000001
scientist691@,weak,0.005545
=:WU(N.vgrXrZt,strong,10000.0000000001
\S3nt9PfT_W4,strong,100.0000000001
color476@,weak,0.002053
"I>O&W=ARNn""H@6\Qs",strong,10000000.0000000001
behavior8,weak,0.000003618
write119@,weak,0.001203
nru#asSjS1%cnU,strong,10000.0000000001
business398!,weak,0.000539
W)UFpY@3/qzD(oDBxCrJ,strong,10000000000.0000000001
prevent491,weak,0.000278
@1RT5`5%=}!rT0>#S;,strong,100000000.0000000001
~5GMUOv2<BNmUaBE}C>,strong,1000000000.0000000001
"""AmJGUN{%?",medium,1.0000000001
run745,weak,0.0000493197866666666662695206469
at48#,weak,0.0000100001
world747!,weak,0.000107
"_\d`m%7,X]`R+*~4B+9`",strong,10000000000.0000000001
certain443!,weak,0.001457
event402#,weak,0.000767
.`168Ft%XF^W_/p}[#,strong,100000000.0000000001
0.8>O!]95%tCL,strong,1000.0000000001
author639,weak,0.0001324
l_&9Sn`3,weak,0.0100000001
difference71,weak,0.00001504
]]*wn5!q/z,medium,1.0000000001
until412!,weak,0.000205
bA::fQ_<Mr@o,strong,100.0000000001
dream789,weak,0.00000605
financial326#,weak,0.001339
"&JF*ey?XFu""u4",strong,1000.0000000001
wind72#,weak,0.000198
know542!,weak,0.000101
JL7m)e~66WfmcK@rNBO,strong,1000000000.0000000001
YRzR{6=',weak,0.0100000001
allow549!,weak,0.0004706
kra<T-^P%-aou,strong,1000.0000000001
north741!,weak,0.000181
health581@,weak,0.000811
"~jGj)<P<""lCHF7hp",strong,1000000.0000000001
drop236,weak,0.00009376661333333333257087360834
pretty921#,weak,0.000399
discussion56@,weak,0.00029932
size751!,weak,0.000969
exactly489!,weak,0.000435
guess29!,weak,0.0000312
v{}q{k`5.gcL,strong,100.0000000001
Er9REPt]g?|]Do*J|k*j,strong,10000000000.0000000001
old416#,weak,0.000373
get725,weak,0.000011
energy53!,weak,0.0001158
2KJiLhlXJ)pXq1,strong,10000.0000000001
item66@,weak,0.0004436
#ui?j|'Z2P[D[HPJ5I5,strong,1000000000.0000000001
similar453!,weak,0.000733
month657!,weak,0.001427
his625#,weak,0.000101
"ZREz\l""{2}-p",strong,100.0000000001
"D)w;gi{9Zr95|G,s",strong,1000000.0000000001
effort777!,weak,0.002439
suddenly206@,weak,0.001611
give415,weak,0.00001962709333333333318023505853
side15#,weak,0.000047
DWre_*NdOc9UU{$!%;-J,strong,3600000000.01
Gsq!P)zGivz,strong,10.0000000001
"2oQ/VW+F""LpC",strong,100.0000000001
test312!,weak,0.000187
exist659,weak,0.0002745047466666666644186989288
traditional376#,weak,0.001173
JwNsTQ(^>/cMRTe1Y,strong,10000000.0000000001
bF-*hk]F,weak,0.0100000001
"Bg\lk=a-(3WN,w[!M",strong,10000000.0000000001
charge627,weak,0.0001524
Ae}0<L$krc1SgQF/{u,strong,100000000.0000000001
k<%|BBfO_<Lq(O[~$7:,strong,1000000000.0000000001
0=2GDeI?;4&T/13w!44,strong,468000000.01
morning42@,weak,0.0000498
V^oQC{8mwc6v?FLy,strong,1000000.0000000001
together982,weak,0.0000326
8*'VD\iP,weak,0.0100000001
mso^bAe-Q&(uV4^]3Zl,strong,1000000000.0000000001
four765!,weak,0.000231
"stD\5h,z|:#Fq<",strong,10000.0000000001
player725!,weak,0.000319
realize594,weak,0.0000922
simply851,weak,0.0002044226133333333316613789066
