username,role,password,strength_label,crack_time_seconds
user76,user,"QxXH7,I?^A]>Lrwb'S",strong,100000000.0000000001
user77,user,occur384@,weak,0.002907
user78,user,professor896#,weak,0.001133
user79,user,happen351!,weak,0.000441
user80,user,nNOd|H?C,weak,0.0100000001
user81,user,control11,weak,0.00000433
user82,user,*e+qacJ}}6>:39vt4\,strong,100000000.0000000001
user83,user,",MAyp}xh5lz=)4",strong,9108.01
user84,user,inside763@,weak,0.000759
user85,user,"aK54d,h${B",medium,1.0000000001
user86,user,ad`j6[-v,weak,0.0100000001
user87,user,inside787,weak,0.00007089770666666666609216918004
user88,user,culture685#,weak,0.001097
user89,user,return576#,weak,0.0007418
user90,user,story137#,weak,0.000633
user91,user,phone664#,weak,0.000547
user92,user,affect905!,weak,0.003539
user93,user,Jm;;dPwn%+,medium,1.0000000001
user94,user,through143@,weak,0.000171
user95,user,lawyer369#,weak,0.001349
user96,user,h(ls:k0x$DnDo},strong,10000.0000000001
user97,user,[/IzeJbEB|76,strong,100.0000000001
user98,user,argue697,weak,0.0002826
user99,user,sport941!,weak,0.002271
user100,user,police944!,weak,0.000689
user101,user,GO}CmAnu5K(^p)yVh,strong,10000000.0000000001
user102,user,.mrqp&7<%{q-#[@-<e,strong,93600000.01
user103,user,sqy8;yc%>(,medium,1.0000000001
user104,user,include975@,weak,0.000381
user105,user,"6K&@s>)`$sk,No+",strong,12800.000001
user106,user,somebody564!,weak,0.000535
user107,user,i#;+)^lK2yMTU'J,strong,100000.0000000001
user108,user,"KH7&4G""`v4\hH'B9E2?G",strong,10000000000.0000000001
user109,user,X{$BqSB1^'MxZ~,strong,10000.0000000001
user110,user,"8*H)MnsIOX58=""h.",strong,912000.01
user111,user,employee689#,weak,0.004227
user112,user,"oa#[U[8egCKD],Sv6",strong,10000000.0000000001
user113,user,just581,weak,0.000011
user114,user,less841@,weak,0.000853
user115,user,eGf[|r8.eH.T,strong,100.0000000001
user116,user,little149!,weak,0.000143
user117,user,glass946@,weak,0.001129
user118,user,garden622@,weak,0.002021
user119,user,">SD=b<Rhh=oGe'b,d",strong,10000000.0000000001
user120,user,reveal932!,weak,0.004883
user121,user,zquzil[]7#;!,strong,100.0000000001
user122,user,E(Ax2eQ$qQwv+q,strong,10000.0000000001
user123,user,"02,$Ub]F3yj2txIi",strong,1000000.0000000001
user124,user,9.M./=^8r)]7,strong,100.0000000001
user125,user,l|D[CGzS<5Z0K,strong,1000.0000000001
user126,user,manage45#,weak,0.000274
user127,user,;_@.W('6O#p-`,strong,1000.0000000001
user128,user,UYDkIf*u,weak,0.0100000001
user129,user,space698,weak,0.00008399199999999999931787897368
user130,user,fact668#,weak,0.000601
user131,user,"C""A-BoT&k0B",strong,10.0000000001
user132,user,firm534#,weak,0.0013454
user133,user,"7*'acC.A4-0H<N,(",strong,1000000.0000000001
user134,user,protect599#,weak,0.001013
user135,user,GJ1Icy|FcRmK/,strong,1000.0000000001
user136,user,"k-\,5bD+RK",medium,1.0000000001
user137,user,"lB-#;z6""MV",medium,1.0000000001
user138,user,"3%/#""(4odu|",strong,10.0000000001
user139,user,discussion37@,weak,0.0003078
user140,user,Cv}E*0e!,weak,0.0100000001
user141,user,6LC{b3FO,weak,0.0100000001
user142,user,":ijnDQ""{",weak,0.0100000001
user143,user,year218#,weak,0.000101
user144,user,jsY-71e}Ma3Q,strong,100.0000000001
user145,user,Z&O&Vs6X4,medium,0.1000000001
user146,user,/DxihL)0H-<{5z|}5k,strong,100000000.0000000001
user147,user,"8bFI=,!~Jh",medium,1.0000000001
user148,user,e`CRoA_JjDh#|(luB,strong,1048000.000001
user149,user,Q6@~%'g_1,medium,0.1000000001
user150,user,into698#,weak,0.000101
user151,user,;^|c22/ZBC}CC_cRKC,strong,100000000.0000000001
user152,user,"',|y\Kk$1G{e",strong,100.0000000001
user153,user,series823,weak,0.000021
user154,user,0eL}]7!p,weak,0.0100000001
user155,user,might109#,weak,0.000347
user156,user,<^`+olTC#'`s<.$*t0Ny,strong,1212000000.000001
user157,user,south54#,weak,0.0000172
user158,user,5U(trl=/m,medium,0.1000000001
user159,user,Z[]!JrvDGk9Yr<Do*Lr,strong,1000000000.0000000001
user160,user,many829@,weak,0.000137
user161,user,0K^3-66A\%,medium,1.0000000001
user162,user,what23,weak,0.0000015
user163,user,{/w1ABk3PE4,strong,10.0000000001
user164,user,T=I{<0ra<iY{awmYhW/,strong,724800000.01
user165,user,R2;n2npf7_?<~z,strong,10000.0000000001
user166,user,'d6FP4}2]B*xj,strong,1000.0000000001
user167,user,xL>ht)mB.f,medium,1.0000000001
user168,user,poor930#,weak,0.001021
user169,user,@fR<xs2U>e,medium,1.0000000001
user170,user,discover626@,weak,0.002923
user171,user,evening967#,weak,0.001119
user172,user,'0}=%Fha,weak,0.0100000001
user173,user,-K9j`)5hU_6#1,strong,1000.0000000001
user174,user,cold57,weak,0.00001088
user175,user,Hs%tM^%FC#bT,strong,100.0000000001
user176,user,character674#,weak,0.000839
user177,user,any338#,weak,0.000191
user178,user,"'4;f|Uco3`yO=""#dutg",strong,1000000000.0000000001
user179,user,back349,weak,0.0000122
user180,user,already303,weak,0.0000386230399999999996907718014
user181,user,senior424,weak,0.0001039100799999999991541699274
user182,user,century768@,weak,0.000309
user183,user,WwsN0R1jmA(zM,strong,1000.0000000001
user184,user,1TUvbL-9+?;an5/,strong,100000.0000000001
user185,user,specific607@,weak,0.001611
user186,user,century928,weak,0.0000318
user187,user,"m""`2#FY0SZ{d:8)}ibH",strong,1000000000.0000000001
user188,user,thousand258@,weak,0.001233
user189,user,QYqGWGO?=Z#*rMtB,strong,1000000.0000000001
user190,user,?tJ[d`W(,weak,0.0100000001
user191,user,along601!,weak,0.000359
user192,user,oHOO:u|DBKbCq->,strong,100000.0000000001
user193,user,analysis970!,weak,0.002083
user194,user,#eNJ&.#nNq{{Z_b*%,strong,10000000.0000000001
user195,user,born637#,weak,0.000161
user196,user,player654,weak,0.000002908
user197,user,ability12,weak,0.00001123
user198,user,cost988#,weak,0.001537
user199,user,visit756#,weak,0.001557
user200,user,before795#,weak,0.000179
user201,user,Z0[@#g@bz,medium,0.1000000001
user202,user,>5s7JKc:Ezwk,strong,100.0000000001
user203,user,office643,weak,0.0000576
user204,user,high210#,weak,0.000183
user205,user,air415,weak,0.00003917631999999999968622432788
user206,user,expert74!,weak,0.0003026
user207,user,k;2G(xSZ\#\:!O;FRa,strong,100000000.0000000001
user208,user,debate490@,weak,0.003777
user209,user,remember209,weak,0.000032
user210,user,test49#,weak,0.0000196
user211,user,"{'X=`FGJm""mF"".0",strong,100000.0000000001
user212,user,d|=VG`7LC5[HA.0K:,strong,10000000.0000000001
user213,user,?EW(jc?HJ,medium,0.1000000001
user214,user,",TMzBgaT8_roQZ=$q",strong,10000000.0000000001
user215,user,y3E8VxHY8iT-WF)G#n,strong,100000000.0000000001
user216,user,fund511@,weak,0.0005842
user217,user,maybe901#,weak,0.000173
user218,user,add522,weak,0.00008382
user219,user,Ia:iC7_W,weak,0.0100000001
user220,user,"6Q""OM^j{",weak,0.0100000001
user221,user,blue322@,weak,0.00009784
user222,user,Q4Gb}=#m9IQf,strong,100.0000000001
user223,user,"{tF%Z""Wv-_FG+",strong,1000.0000000001
user224,user,network562#,weak,0.0007538
user225,user,crime121#,weak,0.001437
user226,user,"Bj""/o_9P>",medium,0.1000000001
user227,user,behavior602!,weak,0.002381
user228,user,1sO&n11SAP/zpDjE-W,strong,100000000.0000000001
user229,user,\.9LZI<5IN$=@.,strong,10000.0000000001
user230,user,"q""hzrk6W+uaH>Xw",strong,100000.0000000001
user231,user,crime960#,weak,0.001437
user232,user,%VB5-``B=1|Yj|,strong,10000.0000000001
user233,user,statement814@,weak,0.002417
user234,user,factor123!,weak,0.003243
user235,user,own659@,weak,0.000405
user236,user,&TeLaw~]aSd,strong,10.0000000001
user237,user,51!&E$rsLP3X8!W?I7*,strong,1000000000.0000000001
user238,user,#`T9F_*bSP,medium,1.0000000001
user239,user,also687@,weak,0.000101
user240,user,'Zg}J72V>Asz^V,strong,10000.0000000001
user241,user,girl217,weak,0.0000412
user242,user,*:cT_;_laGT18ffY,strong,1000000.0000000001
user243,user,natural671#,weak,0.001105
user244,user,or278#,weak,0.0001000001
user245,user,ready660#,weak,0.000469
user246,user,strong907!,weak,0.001141
user247,user,"hSP?C/x*zeIOA$,",strong,100000.0000000001
user248,user,"$SOZwD""($\aQ4%",strong,10000.0000000001
user249,user,require627,weak,0.0003548
user250,user,market323@,weak,0.000991
user251,user,YEg(&$Pn6c7J,strong,93.61
user252,user,oj38qldK~o'%B1Z6N,strong,10000000.0000000001
user253,user,-7`}^SKU9pI$!NKm5a,strong,100000000.0000000001
user254,user,walk687#,weak,0.000669
user255,user,executive981!,weak,0.001365
user256,user,7>vJ.o8VK9qs,strong,100.0000000001
user257,user,sit267,weak,0.0000614
user258,user,\4A%Rw{TJ=^z,strong,100.0000000001
user259,user,SjOH)y*k,weak,0.0100000001
user260,user,political789#,weak,0.000531
user261,user,wmYC8@S#Ub,medium,1.0000000001
user262,user,himself419!,weak,0.000753
user263,user,nXX\zW{9-VIBz-RXP,strong,10000000.0000000001
user264,user,*Nws^?~|}H6!,strong,100.0000000001
user265,user,kind1,weak,0.0000013256
user266,user,o:X_L3\de/6QIFBCm(?,strong,1000000000.0000000001
user267,user,D%`#l/;/WJf<hG+Ps$Ko,strong,10000000000.0000000001
user268,user,newspaper449#,weak,0.001781
user269,user,soldier755#,weak,0.002211
user270,user,j&owav$3u*Gwe,strong,1000.0000000001
user271,user,watch691!,weak,0.000619
user272,user,"m)RcXxh!o//,vP",strong,10000.0000000001
user273,user,call568@,weak,0.000229
user274,user,out756!,weak,0.000101
user275,user,defense619!,weak,0.001743
user276,user,FM>$?P[P]a0g&^EcV?,strong,100000000.0000000001
user277,user,measure867@,weak,0.003603
user278,user,sense378@,weak,0.000847
user279,user,building103@,weak,0.000383
user280,user,car228#,weak,0.000467
user281,user,\$cg$)>[:![Bk>\aB4,strong,100000000.0000000001
user282,user,p`Czhwn5>.m1-hFUHg,strong,100000000.0000000001
user283,user,class974#,weak,0.000569
user284,user,([RwJ:vNM,medium,0.1000000001
user285,user,hiPR`[J#:6r,strong,10.0000000001
user286,user,"""DT4R2$g;5la{jwd""auf",strong,10000000000.0000000001
user287,user,door697!,weak,0.000655
user288,user,RtSaO!f&,weak,0.0100000001
user289,user,tRK|-pe[K\Un%OP,strong,100000.0000000001
user290,user,"=""+k""*Z3<t%~%",strong,1000.0000000001
user291,user,best825,weak,0.0000334
user292,user,know343,weak,0.000011
user293,user,suggest556!,weak,0.0011494
user294,user,hT`j+<#+,weak,0.0100000001
user295,user,product856,weak,0.0001793405866666666652008643723
user296,user,heavy112!,weak,0.001633
user297,user,music989,weak,0.000021286933333333333166592638
user298,user,seek788,weak,0.000101
user299,user,fHN+uj)V,weak,0.0100000001
user300,user,hear690#,weak,0.000329
user301,user,might685,weak,0.00003290581333333333307109569432
user302,user,team226,weak,0.0000158
user303,user,isKA+U]5&T0jy`dC0XQH,strong,10000000000.0000000001
user304,user,decision591#,weak,0.0005554
user305,user,speak960@,weak,0.000879
user306,user,in934!,weak,0.0001000001
user307,user,write813#,weak,0.001203
user308,user,represent984#,weak,0.002913
user309,user,'J8)anooi7Q0,strong,100.0000000001
user310,user,man857#,weak,0.000177
user311,user,PbQ'ee-]+r,medium,1.0000000001
user312,user,offer35#,weak,0.0001266
user313,user,Z8pS`;Ziq,medium,0.1000000001
user314,user,industry885@,weak,0.000987
user315,user,sell733@,weak,0.001545
user316,user,0O]OC5t5vmsi,strong,100.0000000001
user317,user,t/c\y.%6,weak,0.0100000001
user318,user,",El]VZK!~b|$ZN",strong,10000.0000000001
user319,user,than618#,weak,0.000155
user320,user,account949!,weak,0.002267
user321,user,"??)}H<N""o6Z$I(}",strong,100000.0000000001
user322,user,Pn2Gs+z18z?{,strong,100.0000000001
user323,user,rM5yFm~[MH98+lD,strong,100000.0000000001
user324,user,realize522!,weak,0.000913
user325,user,security610#,weak,0.000945
user326,user,education314!,weak,0.000435
user327,user,behind720,weak,0.0000766
user328,user,mjFH?SmP=3|if%A#J#*^,strong,10000000000.0000000001
user329,user,wZh1!zNIV$.z(oW,strong,100000.0000000001
user330,user,begin811,weak,0.0001734
user331,user,";naW*YsGR&b""?O",strong,10000.0000000001
user332,user,%A>#b5o]:j0_N<,strong,10000.0000000001
user333,user,sea743#,weak,0.0002598
user334,user,=wMi$0AKj~!W[JPG~G,strong,100000000.0000000001
user335,user,hear504,weak,0.0000338
user336,user,anyone213#,weak,0.000529
user337,user,field783,weak,0.0000572
user338,user,finish357#,weak,0.00038004
user339,user,least280!,weak,0.000577
user340,user,N9$ES%0qOD!zx,strong,1000.0000000001
user341,user,cup926#,weak,0.000535
user342,user,"yA!VS[,@p+5",strong,10.0000000001
user343,user,}L@e)hM{C'Y},strong,100.0000000001
user344,user,push224,weak,0.0001492
user345,user,"J%Dr#D3[G[y""2#v*=,ca",strong,10000000000.0000000001
user346,user,lwyczh2b$'E{c,strong,1000.0000000001
user347,user,3(REAfLchDt<ulm,strong,100000.0000000001
user348,user,"ZhX2[5+P`g;xHHOnQ,8",strong,1000000000.0000000001
user349,user,"""X6?l^Uz+>qLx0@&.E",strong,100000000.0000000001
user350,user,course731!,weak,0.000345
user351,user,XGy.r@=@ra&)\jx.,strong,1000000.0000000001
user352,user,?/a]KZ_},weak,0.0100000001
user353,user,"A""yDQU)V+e^u}",strong,1000.0000000001
user354,user,system536#,weak,0.0002962
user355,user,probably861#,weak,0.000439
user356,user,1ccue\NXz7LL,strong,100.0000000001
user357,user,drive629#,weak,0.000999
user358,user,history98,weak,0.00000196
user359,user,difficult150@,weak,0.001453
user360,user,various601@,weak,0.000545
user361,user,sense844!,weak,0.000847
user362,user,test249,weak,0.0000196
user363,user,3$7$1&d[#\ks,strong,100.0000000001
user364,user,ok537#,weak,0.0001000001
user365,user,event782#,weak,0.000767
user366,user,LTc{nfBD,weak,0.0100000001
user367,user,"#z9#Ju*J;cRdHR8,I",strong,10000000.0000000001
user368,user,significant320#,weak,0.001235
user369,user,lawyer834#,weak,0.001349
user370,user,turn450!,weak,0.000561
user371,user,^=y\1Wq]\~2$}VBY5,strong,10000000.0000000001
user372,user,x0Cu#w!sLb)$,strong,100.0000000001
user373,user,yk?a715Z$F,medium,1.0000000001
user374,user,style291!,weak,0.000803
user375,user,actually439@,weak,0.000327
user376,user,low974!,weak,0.000903
user377,user,tkUJq|d.>`*u`/,strong,10000.0000000001
user378,user,Br1_xNu[,weak,0.0100000001
user379,user,unit960#,weak,0.001209
user380,user,T&5Wt#]0)#n0g{,strong,10000.0000000001
user381,user,"y3P}""eEgt@2",strong,10.0000000001
user382,user,direction97@,weak,0.0002082
user383,user,PxUAUXu_,weak,0.0100000001
user384,user,upon788@,weak,0.000761
user385,user,y6YW>Yo!(},medium,1.0000000001
user386,user,]$[K[T1SnN],strong,10.0000000001
user387,user,bank78@,weak,0.0001008
user388,user,environment348@,weak,0.002069
user389,user,Uo.lF&s]GCP,strong,10.0000000001
user390,user,K07JbP(5f8>N+m|=?F,strong,100000000.0000000001
user391,user,yeah541!,weak,0.000101
user392,user,t`1s_8c}kn!I^t`A_!B,strong,1000000000.0000000001
user393,user,(X3/(N<re59)4,strong,1000.0000000001
user394,user,direction952!,weak,0.002073
user395,user,uTnhV:RWY,medium,0.1000000001
user396,user,2u^?2MP_X50W,strong,100.0000000001
user397,user,</X6yTQreB{U6=T%3K,strong,100000000.0000000001
user398,user,'L]wy*qJ/i^;FXdA}7aY,strong,10000000000.0000000001
user399,user,"wtA]JV:$?SO'?,'H0$Z",strong,1000000000.0000000001
user400,user,t#M(gl1[KV?,strong,10.0000000001
user401,user,week950#,weak,0.000763
user402,user,]36-}40)<b6O{,strong,1000.0000000001
user403,user,"(9GgedO58`F""~Z",strong,10000.0000000001
user404,user,@.X._e3tP,medium,0.1000000001
user405,user,"NO,w*MrZ`",medium,0.1000000001
user406,user,Fs}#_DZu>xno,strong,100.0000000001
user407,user,natural392@,weak,0.001105
user408,user,Q&<*)F;S_b|K80X,strong,100000.0000000001
user409,user,between463!,weak,0.000115
user410,user,son212@,weak,0.000389
user411,user,{ulFw*_|ZLD,strong,10.0000000001
user412,user,light178@,weak,0.000835
user413,user,account808#,weak,0.002267
user414,user,include249@,weak,0.000381
user415,user,himself612#,weak,0.000753
user416,user,green855!,weak,0.000101
user417,user,+njB6wwLmTZnd,strong,1000.0000000001
user418,user,from922#,weak,0.000101
user419,user,arFo7W|8Y::]l#HG,strong,1000000.0000000001
user420,user,court95,weak,0.00000588
user421,user,according941,weak,0.0000442
user422,user,thousand862#,weak,0.001233
user423,user,adult388#,weak,0.002723
user424,user,k0dtQi>]y2,medium,1.0000000001
user425,user,how136,weak,0.000011
user426,user,paper35!,weak,0.0001246
user427,user,season94@,weak,0.0000156
user428,user,}G`2bY|A%q/,strong,10.0000000001
user429,user,"""N2Y!HM{}uJ,i_do",strong,1000000.0000000001
user430,user,have163#,weak,0.000101
user431,user,central393#,weak,0.000437
user432,user,"N&;2Ya,}=;bI38@S3",strong,10000000.0000000001
user433,user,(n0!)VfG+#OHM5,strong,10000.0000000001
user434,user,understand158@,weak,0.000323
user435,user,knowledge450,weak,0.0002122
user436,user,"_aMn`l'Ln<m$W6<"")",strong,10000000.0000000001
user437,user,result627#,weak,0.000771
user438,user,l*<aLnhgw0R,strong,10.0000000001
user439,user,sea121,weak,0.00004672
user440,user,j\MI/kp[D',medium,1.0000000001
user441,user,two893@,weak,0.000101
user442,user,vjQ>%OR>_0v|[$~0)Cv,strong,1000000000.0000000001
user443,user,"j816AB\vK""0<",strong,100.0000000001
user444,user,power74,weak,0.00000578
user445,user,"kA'A,_aQQ",medium,0.1000000001
user446,user,=R9_Tp;=Z/n!Y79G,strong,1000000.0000000001
user447,user,very885#,weak,0.000179
user448,user,list877#,weak,0.000463
user449,user,pull940@,weak,0.001045
user450,user,YSER'fg7&FtXvA7,strong,100000.0000000001
user451,user,his276#,weak,0.000101
user452,user,}qQ$!(.SIT*dc.n',strong,1000000.0000000001
user453,user,W?C5NB?j?>AF,strong,100.0000000001
user454,user,book218#,weak,0.000423
user455,user,experience933,weak,0.0001618
user456,user,month782!,weak,0.001427
user457,user,#Qjg>_'}P,medium,0.1000000001
user458,user,indeed451!,weak,0.002533
user459,user,"o`Fd^""~KKS},MXz83",strong,10000000.0000000001
user460,user,[fc3kv:5g,medium,0.1000000001
user461,user,character800,weak,0.0000848
user462,user,drug172!,weak,0.001659
user463,user,w?RMuL^y%'2uc,strong,1000.0000000001
user464,user,rate149@,weak,0.001497
user465,user,movie66#,weak,0.0001074
user466,user,u+Q{EM@/e8Zmml?l<I,strong,100000000.0000000001
user467,user,expect411#,weak,0.001055
user468,user,nation878@,weak,0.001809
user469,user,some316#,weak,0.000111
user470,user,".7RP+xaA""eQG>O'rtd",strong,100000000.0000000001
user471,user,Fq{qtaTBT2)dfV{Pec5[,strong,10000000000.0000000001
user472,user,8jy+tC@iBs`+J/Zz,strong,1000000.0000000001
user473,user,kImtP1H+x{{),strong,70.800001
user474,user,often9!,weak,0.0000053
user475,user,all834@,weak,0.000101
user476,user,HOvtjiPHHkb?,strong,100.0000000001
user477,user,help741,weak,0.000002236
user478,user,including181@,weak,0.000175
user479,user,go814,weak,0.0000100001
user480,user,#b9Wq+PJTtAw},strong,1000.0000000001
user481,user,husband689@,weak,0.000705
user482,user,benefit59,weak,0.000010548
user483,user,"""i1AInd3=a",medium,1.0000000001
user484,user,money543#,weak,0.000285
user485,user,provide804,weak,0.0001094
user486,user,what624#,weak,0.000101
user487,user,CDsuj-z+d<M{+z,strong,10000.0000000001
user488,user,argue591!,weak,0.0012762
user489,user,Tt3OYs}c$C,medium,1.0000000001
user490,user,well620@,weak,0.000101
user491,user,paper446#,weak,0.001237
user492,user,point495@,weak,0.000533
user493,user,although276#,weak,0.000369
user494,user,remember648,weak,0.000032
user495,user,O-CTe60E.!FDy,strong,1000.0000000001
user496,user,|nM't0d{6YGq,strong,100.0000000001
user497,user,-0i_!d%SKYYk>,strong,1000.0000000001
user498,user,beat405#,weak,0.0011866
user499,user,{#8b=B*<n\,medium,1.0000000001
user500,user,reality505#,weak,0.002233
user501,user,present498#,weak,0.000619
user502,user,o2]li4t.T6-Km,strong,1000.0000000001
user503,user,MgGefLme-A+O-,strong,1000.0000000001
user504,user,country469#,weak,0.000439
user505,user,main147,weak,0.00000298
user506,user,';U'Gj#i0_,medium,1.0000000001
user507,user,character379,weak,0.0000848
user508,user,few172@,weak,0.000585
user509,user,your970!,weak,0.000101
user510,user,little439!,weak,0.000143
user511,user,l8iqLA|=:Pp,strong,10.0000000001
user512,user,call377#,weak,0.000229
user513,user,KU8>1bIH=<2W-,strong,1000.0000000001
user514,user,K]|#M;4'DG4K,strong,100.0000000001
user515,user,early105#,weak,0.000191
user516,user,NF]s#t@tm=1BPQ,strong,10000.0000000001
user517,user,~;]`'K)G-7`b,strong,100.0000000001
user518,user,hold931@,weak,0.000475
user519,user,manage470,weak,0.000274
user520,user,green827,weak,0.000011
user521,user,l)4*PdFwN,medium,0.1000000001
user522,user,IMi|N/ik/R}FJWLyD,strong,10000000.0000000001
user523,user,just84@,weak,0.000011
user524,user,institution792#,weak,0.002935
user525,user,_D5TTfj&hgY3A@5Qh>]Y,strong,10000000000.0000000001
user526,user,suggest795!,weak,0.002157
user527,user,bed567@,weak,0.000741
user528,user,wPTkjbnt|,medium,0.1000000001
user529,user,&4%@Xnt5,weak,0.0100000001
user530,user,position695!,weak,0.000689
user531,user,notice98@,weak,0.0001562
user532,user,"4^+|E4GIGk`"":W~\-""P",strong,1000000000.0000000001
user533,user,reveal109#,weak,0.004883
user534,user,Congress111,weak,0.00001564
user535,user,^5+n4d}]Ot5k9%by#',strong,100000000.0000000001
user536,user,*]ozP>4)TsqU<=,strong,10000.0000000001
user537,user,RD()9i*opk1iCnm`d*i,strong,1000000000.0000000001
user538,user,U]5Ahg5y~>z},strong,100.0000000001
user539,user,7?y%x3gC,weak,0.0100000001
user540,user,protect597@,weak,0.001013
user541,user,H//Eu1\*,weak,0.0100000001
user542,user,8qXXM.UO,weak,0.0100000001
user543,user,Xvu%pNY[n,medium,0.1000000001
user544,user,article420@,weak,0.001689
user545,user,"Uu=kS+""cG+bC0UA@",strong,1000000.0000000001
user546,user,"adPG,j93",weak,0.0100000001
user547,user,80%=wWOg!,medium,0.1000000001
user548,user,DP*{Juypk|]o&,strong,1000.0000000001
user549,user,|~@+Z%{n(dZqla,strong,10000.0000000001
user550,user,left336@,weak,0.000375
user551,user,again576#,weak,0.00000908
user552,user,including216!,weak,0.000175
user553,user,contain337!,weak,0.003375
user554,user,same358@,weak,0.000255
user555,user,q2f6[C_m1'-i:,strong,1000.0000000001
user556,user,sort69,weak,0.00000906
user557,user,usually345@,weak,0.000867
user558,user,onGE0K>KO?)24,strong,1000.0000000001
user559,user,live182,weak,0.000051
user560,user,Vft$iJ.Mz}IXcDJ,strong,100000.0000000001
user561,user,nature909!,weak,0.001473
user562,user,everybody526!,weak,0.000629
user563,user,"Y""Ldr?wG+M\_,Z",strong,10000.0000000001
user564,user,not283!,weak,0.000101
user565,user,zLb+&*^R`*pk1wBeZ|T,strong,1000000000.0000000001
user566,user,;\Y-F}N/3FEuNic7Q>C&,strong,10000000000.0000000001
user567,user,north222!,weak,0.000181
user568,user,"nv:s%18Y,*&InbdO",strong,1000000.0000000001
user569,user,"S^>\Ha?NvNm;s-""Y*5c",strong,1000000000.0000000001
user570,user,"8An+'L`<{"":<qv",strong,10000.0000000001
user571,user,standard233!,weak,0.001129
user572,user,LV?#N+KYB,medium,0.1000000001
user573,user,N]q_W%-nr+2n!3b#%d,strong,100000000.0000000001
user574,user,~qjnf@P.w8bn3tX5a,strong,10000000.0000000001
user575,user,suggest535,weak,0.00011584
